Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
1,MiguelHdezB,,3,101,104,3,101,104,12,0.185273,0.218385,284129.231164,1
2,JuanAmoros2,,1,750,751,1,750,751,13,0.174491,0.209669,584289.895494,4
3,silvia_silvae,,2,877,879,2,877,879,10,0.212546,0.244523,281514.841172,5
4,iuerasmus,,1,638,639,1,638,639,12,0.201571,0.247214,114944.13887,1
5,asensio22,,1,246,247,1,246,247,11,0.161075,0.176645,11424.039755,5
6,menaki_es,,0,167,167,0,167,167,10,0.193666,0.214477,0,4
7,roy_kunnen,,1,182,183,1,182,183,13,0.174439,0.203342,82754.376543,1
8,AsenjoDominguez,,0,33,33,0,33,33,12,0.143748,0.162659,0,5
9,_ACastroverde,,0,196,196,0,196,196,1,1,1,0,0
10,remili_rachid,,0,32,32,0,32,32,16,0.108857,0.120922,0,1
11,GiannidisKostis,,5,285,290,5,285,290,12,0.188929,0.227024,463863.094182,1
12,CorentinBerg1,,2,132,134,2,132,134,12,0.188652,0.224029,84143.314066,1
13,dgeUGR,,7,171,178,7,171,178,10,0.225796,0.254972,1511765.145331,5
14,Aurelio_64,,0,1,1,0,1,1,1,1,1,0,1
15,lauritaa_24,,0,476,476,0,476,476,10,0.190317,0.212284,0,5
16,ESN_Santiago,,4,44,48,4,44,48,13,0.165453,0.189006,178084.415996,1
17,sofiaemmarusso,,1,153,154,1,153,154,10,0.170381,0.189978,33020.937202,2
18,jhonkleyverson,,0,131,131,0,131,131,15,0.119785,0.131745,0,2
19,XFonck,,0,473,473,0,473,473,3,0.427685,0.535093,0,2
20,Mplusthemachine,,0,136,136,0,136,136,10,0.194794,0.217545,0,5
21,AnnaRS99,,2,612,614,2,612,614,9,0.260327,0.29001,1305508.929812,5
22,AndreaMolinaro6,,0,393,393,0,393,393,4,0.549329,0.729286,0,3
23,DEICOJyU,,0,168,168,0,168,168,11,0.197152,0.219925,0,1
24,physicsofdata,,1,164,165,1,164,165,12,0.171045,0.191509,1947.6671,3
25,DFAUnipd,,1,336,337,1,336,337,12,0.169908,0.189827,245,3
26,Isega24Ivan,,2,171,173,2,171,173,12,0.148234,0.163732,132830.915474,8
27,iest_eu,,0,368,368,0,368,368,1,1,1,0,1
28,alwaysaliu,,0,189,189,0,189,189,1,1,1,0,2
29,gloriaaltrueno,,0,90,90,0,90,90,14,0.123075,0.133954,0,1
30,juanrayong,,7,695,702,7,695,702,14,0.151374,0.177157,238415.859765,1
31,natxosegui,,0,128,128,0,128,128,2,0.609589,0.679775,0,1
32,lasseh__,,0,57,57,0,57,57,1,1,1,0,6
33,auxisnchzsolera,,2,262,264,2,262,264,15,0.108192,0.119637,132988.765852,6
34,elenavivast,,0,84,84,0,84,84,1,1,1,0,5
35,BentueFernando,,2,1,3,2,1,3,1,1,1,0,1
36,merchebohio,,0,40,40,0,40,40,1,1,1,0,4
37,esntimisoara,,4,66,70,4,66,70,15,0.128484,0.141451,79268.710744,1
38,FAlentejo_PT,,0,747,747,0,747,747,10,0.221749,0.254277,0,7
39,EPRALEvora,,1,724,725,1,724,725,10,0.221685,0.254018,10.333333,7
40,TeErasmus,,0,7,7,0,7,7,1,1,1,0,4
41,traviz_Ricez,,0,18,18,0,18,18,1,1,1,0,0
42,cocoroomgrx,,0,143,143,0,143,143,11,0.177427,0.206321,0,0
43,AlumniErasmus,,4,185,189,4,185,189,13,0.159417,0.184029,124083.485412,1
44,muhdz_abdullahi,,0,63,63,0,63,63,1,1,1,0,5
45,Dermoalcala,,1,186,187,1,186,187,4,0.463878,0.605191,5294.021812,6
46,rrii_fccee_ugr,,4,318,322,4,318,322,16,0.100146,0.117583,198014.977054,4
47,ESNFrance,,12,1,13,12,1,13,1,1,1,0,1
48,Lisagrgrgr,,0,1,1,0,1,1,1,1,1,0,1
49,PPaskuj,,1,16,17,1,16,17,2,0.550633,0.591954,905.053016,2
50,mbesalu,,0,158,158,0,158,158,1,1,1,0,5
51,NadiaBoro,,1,176,177,1,176,177,4,0.396571,0.458217,15097.337831,4
52,joinverse,,2,282,284,2,282,284,1,1,1,36729.415994,4
53,DinaAmad97,,0,1,1,0,1,1,1,1,1,0,1
54,ClaraG48003312,,0,1,1,0,1,1,1,1,1,0,1
55,MarinaLinaresR,,1,89,90,1,89,90,1,1,1,4361.885714,6
56,EsnLecce,,4,57,61,4,57,61,13,0.168063,0.188261,184837.108256,3
